nops,cycles
2389,16591
2390,16548
2391,16696
2392,16558
2393,16644
2394,16649
2395,16560
2396,16562
2397,16806
2398,16692
2399,16772
2400,16807
2401,16756
2402,16820
2403,16710
2404,16706
2405,16742
2406,16777
2407,16837
2408,16712
2409,16613
2410,16617
2411,16657
2412,16661
2413,16785
2414,16687
2415,16687
2416,16775
2417,16728
2418,16779
2419,16754
2420,16782
2421,16820
2422,16907
2423,16944
2424,16907
2425,16869
2426,16784
2427,16926
2428,16779
2429,16869
2430,16846
2431,16837
2432,16935
2433,16899
2434,16923
2435,16924
2436,17012
2437,16974
2438,17049
2439,16950
2440,16946
2441,17066
2442,16928
2443,17042
2444,17008
2445,16845
2446,16993
2447,17123
2448,17131
2449,17066
2450,17029
2451,16969
2452,17040
2453,17008
2454,17029
2455,16944
2456,17129
2457,17103
2458,16920
2459,16919
2460,17015
2461,17131
2462,17162
2463,17162
2464,17163
2465,17149
2466,17203
2467,17195
2468,17235
2469,17167
2470,17022
2471,17201
2472,17210
2473,17119
2474,17223
2475,17095
2476,17161
2477,17275
2478,17267
2479,17322
2480,17192
2481,17194
2482,17128
2483,17200
2484,17231
2485,17243
2486,17243
2487,17228
2488,17279
2489,17343
2490,17311
2491,17165
2492,17124
2493,17290
2494,17391
2495,17362
2496,17249
2497,17377
2498,17426
2499,17442
2500,17378
2501,17348
2502,17322
2503,17378
2504,17430
2505,17312
2506,17340
2507,17359
2508,17312
2509,17435
2510,17398
2511,17488
2512,17606
2513,17469
2514,17383
2515,17450
2516,17483
